Strike;Last;Net;Bid;Ask;Vol;Int
SPX1617R1310-E ;0.15;0.0;0.0;0.10;0;31
SPX1617R1320-E ;0.15;0.0;0.0;0.10;0;14
SPX1617R1325-E ;0.10;-0.15;0.05;0.10;86;864
SPX1617R1330-E ;0.10;0.0;0.0;0.10;50;1068
SPX1617R1335-E ;0.10;0.0;0.0;0.10;350;62
SPX1617R1340-E ;0.10;0.0;0.0;0.10;60;1121
SPX1617R1345-E ;0.10;0.0;0.0;0.10;350;57
SPX1617R1350-E ;0.10;0.0;0.05;0.10;60;14310
SPX1617R1355-E ;0.10;0.0;0.0;0.10;53;767
SPX1617R1360-E ;0.10;0.0;0.0;0.10;0;337
SPX1617R1365-E ;0.10;0.0;0.0;0.15;200;512
SPX1617R1370-E ;0.10;0.0;0.05;0.15;400;156
SPX1617R1375-E ;0.10;0.0;0.05;0.15;800;1170
SPX1617R1380-E ;0.10;-0.05;0.05;0.25;30;18
SPX1617R1385-E ;0.15;0.0;0.05;0.15;0;21
SPX1617R1390-E ;0.15;0.0;0.05;0.15;0;1012
SPX1617R1395-E ;0.15;-0.10;0.05;0.25;50;23
SPX1617R1400-E ;0.15;0.0;0.10;0.15;170;38132
SPX1617R1405-E ;0.25;0.0;0.05;0.15;0;31
SPX1617R1410-E ;0.15;-0.25;0.05;0.15;200;10
SPX1617R1415-E ;0.15;0.0;0.05;0.15;0;530
SPX1617R1420-E ;0.15;0.0;0.05;0.30;0;691
SPX1617R1425-E ;0.15;0.0;0.15;0.20;0;6960
SPX1617R1430-E ;0.15;-0.05;0.10;0.20;1000;291
SPX1617R1435-E ;0.20;-0.25;0.10;0.20;50;10
SPX1617R1440-E ;0.15;-0.05;0.10;0.20;700;2518
SPX1617R1445-E ;0.20;0.0;0.15;0.30;0;72
SPX1617R1450-E ;0.20;0.0;0.10;0.20;100;13092
SPX1617R1455-E ;0.90;0.0;0.10;0.20;0;11
SPX1617R1460-E ;0.50;0.0;0.10;0.35;0;41
SPX1617R1465-E ;0.20;0.0;0.10;0.25;0;210
SPX1617R1470-E ;0.25;+0.05;0.10;0.25;250;1455
SPX1617R1475-E ;0.20;0.0;0.10;0.25;203;5713
SPX1617R1480-E ;0.25;0.0;0.10;0.35;100;583
SPX1617R1485-E ;0.60;0.0;0.10;0.25;0;27
SPX1617R1490-E ;0.30;0.0;0.10;0.30;0;1072
SPX1617R1495-E ;0.60;0.0;0.10;0.30;0;50
SPX1617R1500-E ;0.25;0.0;0.25;0.30;50;34913
SPX1617R1505-E ;0.30;+0.05;0.15;0.30;203;344
SPX1617R1510-E ;0.85;0.0;0.15;0.30;0;249
SPX1617R1515-E ;0.70;0.0;0.15;0.30;0;50
SPX1617R1520-E ;0.50;0.0;0.15;0.45;0;91
SPX1617R1525-E ;0.30;+0.05;0.25;0.35;613;3476
SPX1617R1530-E ;0.60;0.0;0.15;0.45;0;801
SPX1617R1535-E ;0.30;0.0;0.20;0.40;0;369
SPX1617R1540-E ;0.60;0.0;0.20;0.45;0;142
SPX1617R1545-E ;0.75;0.0;0.20;0.45;0;171
SPX1617R1550-E ;0.35;+0.05;0.20;0.40;510;23321
SPX1617R1555-E ;0.70;0.0;0.20;0.50;0;159
SPX1617R1560-E ;0.60;0.0;0.20;0.50;0;1666
SPX1617R1565-E ;0.35;+0.10;0.25;0.50;4;2646
SPX1617R1570-E ;0.75;0.0;0.25;0.55;0;310
SPX1617R1575-E ;0.30;-0.10;0.25;0.45;66;8466
SPX1617R1580-E ;0.45;0.0;0.25;0.55;0;1024
SPX1617R1585-E ;0.85;0.0;0.30;0.55;0;511
SPX1617R1590-E ;0.40;0.0;0.30;0.60;0;1085
SPX1617R1595-E ;0.90;0.0;0.30;0.50;0;597
SPX1617R1600-E ;0.50;0.0;0.30;0.55;626;43593
SPX1617R1605-E ;0.70;0.0;0.35;0.65;0;320
SPX1617R1610-E ;1.05;0.0;0.35;0.65;0;15
SPX1617R1615-E ;0.50;0.0;0.35;0.65;0;10
SPX1617R1620-E ;0.55;-0.50;0.40;0.70;1;486
SPX1617R1625-E ;0.60;+0.05;0.40;0.65;506;12679
SPX1617R1630-E ;0.55;0.0;0.40;0.65;0;1120
SPX1617R1635-E ;0.60;0.0;0.45;0.75;0;638
SPX1617R1640-E ;0.70;0.0;0.45;0.70;0;2865
SPX1617R1645-E ;1.20;0.0;0.45;0.80;0;925
SPX1617R1650-E ;0.65;+0.03;0.50;0.80;109;33423
SPX1617R1655-E ;0.65;0.0;0.50;0.85;0;567
SPX1617R1660-E ;0.70;0.0;0.50;0.85;0;2469
SPX1617R1665-E ;0.85;0.0;0.55;0.90;0;263
SPX1617R1670-E ;0.60;0.0;0.55;0.90;0;858
SPX1617R1675-E ;0.70;0.0;0.60;0.95;365;8964
SPX1617R1680-E ;0.75;0.0;0.65;1.00;10;614
SPX1617R1685-E ;0.75;0.0;0.65;1.00;0;80
SPX1617R1690-E ;0.87;+0.17;0.70;1.05;11;681
SPX1617R1695-E ;0.80;0.0;0.70;1.05;0;331
SPX1617R1700-E ;1.00;+0.20;0.75;1.05;3184;61461
SPX1617R1705-E ;1.05;0.0;0.80;1.15;0;973
SPX1617R1710-E ;1.00;+0.15;0.85;1.20;1;1365
SPX1617R1715-E ;0.95;0.0;0.85;1.20;0;970
SPX1617R1720-E ;1.15;+0.25;0.90;1.25;1;1912
SPX1617R1725-E ;1.30;+0.25;1.10;1.30;924;30832
SPX1617R1730-E ;1.10;+0.15;1.00;1.35;119;866
SPX1617R1735-E ;1.20;+0.25;1.05;1.40;201;1149
SPX1617R1740-E ;1.12;+0.17;1.10;1.45;5;1222
SPX1617R1745-E ;1.30;0.0;1.15;1.50;0;172
SPX1617R1750-E ;1.41;+0.24;1.20;1.55;330;49630
SPX1617R1755-E ;1.25;-0.10;1.25;1.60;15;365
SPX1617R1760-E ;1.56;+0.27;1.30;1.70;20;1576
SPX1617R1765-E ;1.40;0.0;1.35;1.75;0;142
SPX1617R1770-E ;1.25;0.0;1.45;1.85;0;54
SPX1617R1775-E ;1.82;+0.02;1.50;1.90;489;40247
SPX1617R1780-E ;1.35;0.0;1.60;2.00;0;318
SPX1617R1785-E ;2.00;+0.55;1.70;2.05;10;561
SPX1617R1790-E ;2.10;0.0;1.75;2.15;0;8332
SPX1617R1795-E ;2.15;+0.35;1.85;2.25;12;6929
SPX1617R1800-E ;2.20;+0.40;2.00;2.35;4178;84219
SPX1617R1805-E ;1.85;-0.05;2.10;2.50;1;154
SPX1617R1810-E ;1.85;0.0;2.20;2.60;0;2904
SPX1617R1815-E ;2.70;+0.64;2.30;2.75;25;671
SPX1617R1820-E ;2.90;+0.80;2.45;2.90;1;1475
SPX1617R1825-E ;2.87;+0.77;2.60;3.10;1407;61675
SPX1617R1830-E ;3.00;+0.87;2.70;3.20;383;4608
SPX1617R1835-E ;3.40;+1.10;2.85;3.40;4;6852
SPX1617R1840-E ;3.30;+0.69;3.00;3.50;14;7085
SPX1617R1845-E ;3.23;+0.58;3.20;3.70;12;326
SPX1617R1850-E ;3.71;+0.71;3.60;3.80;1122;69356
SPX1617R1855-E ;4.10;+1.29;3.60;4.10;42;435
SPX1617R1860-E ;4.18;+1.08;3.80;4.40;44;4911
SPX1617R1865-E ;4.55;+1.35;4.00;4.60;22;591
SPX1617R1870-E ;4.60;+0.90;4.20;4.90;587;4971
SPX1617R1875-E ;4.75;+0.85;4.50;5.20;453;39134
SPX1617R1880-E ;5.15;+1.05;4.70;5.40;167;11825
SPX1617R1885-E ;5.55;+1.55;5.00;5.70;35;271
SPX1617R1890-E ;5.60;+1.19;5.30;6.00;37;3660
SPX1617R1895-E ;6.05;+1.60;5.60;6.30;65;1161
SPX1617R1900-E ;6.30;+1.41;5.90;6.70;2255;67361
SPX1617R1905-E ;6.95;+1.93;6.30;7.10;34;460
SPX1617R1910-E ;7.25;+1.68;6.70;7.50;70;1543
SPX1617R1915-E ;7.60;+0.70;7.10;7.90;33;787
SPX1617R1920-E ;8.00;+2.05;7.50;8.40;1401;11976
SPX1617R1925-E ;8.47;+1.79;8.00;8.90;5290;48771
SPX1617R1930-E ;9.00;+1.70;8.50;9.40;330;3254
SPX1617R1935-E ;9.65;+2.40;9.10;9.90;72;791
SPX1617R1940-E ;10.25;+2.05;9.60;10.50;113;6953
SPX1617R1945-E ;10.90;+3.20;10.30;11.10;176;3100
SPX1617R1950-E ;11.45;+2.40;10.90;11.80;10259;75470
SPX1617R1955-E ;12.33;+3.62;11.60;12.60;83;1050
SPX1617R1960-E ;12.80;+2.60;12.40;12.90;299;9042
SPX1617R1965-E ;13.75;+2.85;13.10;14.00;28;8796
SPX1617R1970-E ;14.70;+3.75;14.00;15.00;64;8830
SPX1617R1975-E ;15.68;+3.38;14.80;15.70;2564;37618
SPX1617R1980-E ;16.60;+3.53;15.80;16.80;235;4871
SPX1617R1985-E ;17.50;+3.63;16.80;17.70;145;3492
SPX1617R1990-E ;18.75;+4.50;17.90;18.80;314;11334
SPX1617R1995-E ;19.75;+5.00;19.00;19.90;20;4989
SPX1617R2000-E ;20.90;+4.50;20.20;21.10;15833;145642
SPX1617R2005-E ;21.90;+5.09;21.40;22.50;168;16204
SPX1617R2010-E ;23.35;+4.85;22.70;23.90;169;18497
SPX1617R2015-E ;24.90;+7.05;24.10;25.30;36;10735
SPX1617R2020-E ;26.70;+5.85;25.60;26.80;318;14087
SPX1617R2025-E ;28.10;+5.70;27.20;28.40;2868;49551
SPX1617R2030-E ;29.70;+6.10;28.80;29.90;3472;12896
SPX1617R2035-E ;31.88;+6.53;30.60;31.70;114;22156
SPX1617R2040-E ;34.00;+7.15;32.50;33.50;6075;46085
SPX1617R2045-E ;35.00;+7.54;34.40;35.50;4693;23547
SPX1617R2050-E ;36.99;+6.59;36.60;37.70;17200;96979
SPX1617R2055-E ;39.20;+6.94;38.60;39.80;6675;25547
SPX1617R2060-E ;42.00;+8.00;40.80;42.10;6809;23414
SPX1617R2065-E ;44.20;+8.55;43.20;44.90;48;15059
SPX1617R2070-E ;47.10;+11.29;45.80;47.50;65;16986
SPX1617R2075-E ;49.90;+11.60;48.40;50.20;641;44656
SPX1617R2080-E ;52.45;+11.75;51.30;53.10;110;18000
SPX1617R2085-E ;57.85;+12.14;54.10;56.10;90;20492
SPX1617R2090-E ;48.35;-6.10;57.40;59.30;3;15123
SPX1617R2095-E ;57.50;0.0;60.70;62.70;0;16074
SPX1617R2100-E ;65.62;+12.62;64.10;66.30;807;38770
SPX1617R2105-E ;65.45;+3.16;67.60;70.00;8;938
SPX1617R2110-E ;73.50;+10.25;71.50;73.80;45;733
SPX1617R2115-E ;81.94;0.0;75.30;77.80;0;9
SPX1617R2120-E ;81.50;+16.00;80.50;81.90;168;499
SPX1617R2125-E ;87.40;+8.55;83.70;86.20;15;1563
SPX1617R2130-E ;90.63;+9.48;88.00;90.60;22;82
SPX1617R2135-E ;73.50;0.0;92.50;95.00;0;22
SPX1617R2140-E ;99.10;+31.15;97.00;99.60;1;35
SPX1617R2145-E ;105.66;+26.46;101.70;104.30;1;3
SPX1617R2150-E ;110.00;+23.60;106.40;109.00;1025;3958
SPX1617R2155-E ;106.74;0.0;111.20;113.80;0;4
SPX1617R2160-E ;108.43;0.0;116.00;118.60;0;36
SPX1617R2165-E ;121.65;0.0;120.80;123.40;0;2
SPX1617R2170-E ;79.60;0.0;125.70;128.30;0;28
SPX1617R2175-E ;105.00;0.0;130.60;133.20;0;2522
SPX1617R2180-E ;118.65;0.0;135.60;138.20;0;51
SPX1617R2185-E ;0.0;0.0;140.50;143.10;0;0
SPX1617R2190-E ;108.20;0.0;145.50;148.10;0;28
SPX1617R2195-E ;0.0;0.0;150.40;153.00;0;0
SPX1617R2200-E ;149.00;0.0;155.40;158.00;0;423
SPX1617R2205-E ;0.0;0.0;160.40;163.00;0;0
SPX1617R2210-E ;113.25;0.0;165.30;167.90;0;0
SPX1617R2215-E ;157.90;0.0;170.30;172.90;0;6
SPX1617R2220-E ;0.0;0.0;175.30;177.90;0;0
SPX1617R2225-E ;149.50;0.0;180.30;182.90;0;69
SPX1617R2230-E ;0.0;0.0;185.30;187.90;0;0
SPX1617R2235-E ;0.0;0.0;190.30;192.90;0;0
SPX1617R2240-E ;0.0;0.0;195.30;197.90;0;0
SPX1617R2245-E ;0.0;0.0;200.20;202.80;0;0
SPX1617R2250-E ;197.12;0.0;205.20;207.80;0;1349
SPX1617R2275-E ;221.88;0.0;230.10;232.80;0;118
SPX1617R2300-E ;260.51;0.0;254.90;257.90;0;2541
SPX1617R2325-E ;271.72;0.0;280.10;282.70;0;16
SPX1617R2350-E ;296.58;0.0;305.10;307.70;0;2021
SPX1617R2375-E ;334.40;0.0;330.10;332.70;0;27
SPX1617R2400-E ;353.17;0.0;355.00;357.60;0;41
SPX1617R2425-E ;352.20;0.0;380.00;382.60;0;23
SPX1617R2450-E ;0.0;0.0;405.00;407.60;0;0
SPX1617R2500-E ;427.13;0.0;454.90;457.50;0;5624
SPX1617R2800-E ;759.05;0.0;754.70;757.30;0;0
SPX1617R3000-E ;958.85;0.0;954.60;957.20;0;3247
SPX1617R3500-E ;1424.00;0.0;1454.30;1456.90;0;31
